#1:snapshot #2:rc #3:rh #4:rc/rh [all units parsec]
n2e5_w5_r2_Rg8_z0.001.out.snap0144.dat.gz 3.61 6.15 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0145.dat.gz 3.41 6.11 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0146.dat.gz 3.58 6.21 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0147.dat.gz 3.52 6.14 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0148.dat.gz 3.54 6.15 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0149.dat.gz 3.59 6.12 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0150.dat.gz 3.56 6.18 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0151.dat.gz -4.01 6.22 -0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0152.dat.gz 3.76 6.27 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0153.dat.gz 3.52 6.27 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0154.dat.gz 3.56 6.28 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0155.dat.gz 3.38 6.26 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0156.dat.gz 3.56 6.34 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0157.dat.gz 3.71 6.3 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0158.dat.gz 3.61 6.35 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0159.dat.gz 3.24 6.22 0.52
n2e5_w5_r2_Rg8_z0.001.out.snap0160.dat.gz 3.62 6.35 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0161.dat.gz 3.58 6.41 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0162.dat.gz -3.85 6.43 -0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0163.dat.gz 3.58 6.44 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0164.dat.gz 3.5 6.49 0.54
n2e5_w5_r2_Rg8_z0.001.out.snap0165.dat.gz 3.53 6.35 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0166.dat.gz 3.46 6.26 0.55
n2e5_w5_r2_Rg8_z0.001.out.snap0167.dat.gz 3.39 6.45 0.53
n2e5_w5_r2_Rg8_z0.001.out.snap0168.dat.gz 3.76 6.41 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0169.dat.gz 3.57 6.45 0.55
