#snapno time[Myr] time[FP] #1:snapshot #2:rc #3:rh #4:rc/rh
0151 7984.6220702 2.652434 n2e5_w5_r2_Rg8_z0.001.out.snap0151.dat.gz -4.01 6.22 -0.64
0152 8139.25636472 2.7038024 n2e5_w5_r2_Rg8_z0.001.out.snap0152.dat.gz 3.76 6.27 0.6
0153 8277.43184399 2.7497033 n2e5_w5_r2_Rg8_z0.001.out.snap0153.dat.gz 3.52 6.27 0.56
0154 8278.41290076 2.7500292 n2e5_w5_r2_Rg8_z0.001.out.snap0154.dat.gz 3.56 6.28 0.57
0155 8359.53446516 2.7769772 n2e5_w5_r2_Rg8_z0.001.out.snap0155.dat.gz 3.38 6.26 0.54
0156 8499.80631735 2.8235745 n2e5_w5_r2_Rg8_z0.001.out.snap0156.dat.gz 3.56 6.34 0.56
0157 8623.06545909 2.8645203 n2e5_w5_r2_Rg8_z0.001.out.snap0157.dat.gz 3.71 6.3 0.59
0158 8760.65302677 2.9102259 n2e5_w5_r2_Rg8_z0.001.out.snap0158.dat.gz 3.61 6.35 0.57
0159 8918.20791435 2.9625645 n2e5_w5_r2_Rg8_z0.001.out.snap0159.dat.gz 3.24 6.22 0.52
0160 9031.02763672 3.0000424 n2e5_w5_r2_Rg8_z0.001.out.snap0160.dat.gz 3.62 6.35 0.57
0161 9059.65709487 3.0095529 n2e5_w5_r2_Rg8_z0.001.out.snap0161.dat.gz 3.58 6.41 0.56
0162 9204.20778748 3.0575716 n2e5_w5_r2_Rg8_z0.001.out.snap0162.dat.gz -3.85 6.43 -0.6
0163 9304.52543292 3.0908964 n2e5_w5_r2_Rg8_z0.001.out.snap0163.dat.gz 3.58 6.44 0.56
0164 9391.07155792 3.1196464 n2e5_w5_r2_Rg8_z0.001.out.snap0164.dat.gz 3.5 6.49 0.54
0165 9555.53026752 3.1742784 n2e5_w5_r2_Rg8_z0.001.out.snap0165.dat.gz 3.53 6.35 0.56
0166 9643.71760808 3.2035736 n2e5_w5_r2_Rg8_z0.001.out.snap0166.dat.gz 3.46 6.26 0.55
0167 9736.89421986 3.2345262 n2e5_w5_r2_Rg8_z0.001.out.snap0167.dat.gz 3.39 6.45 0.53
0168 9783.55958943 3.2500281 n2e5_w5_r2_Rg8_z0.001.out.snap0168.dat.gz 3.76 6.41 0.59
0169 9846.73615347 3.2710149 n2e5_w5_r2_Rg8_z0.001.out.snap0169.dat.gz 3.57 6.45 0.55
0170 9915.12715917 3.2937339 n2e5_w5_r2_Rg8_z0.001.out.snap0170.dat.gz 3.53 6.42 0.55
0171 10034.313064 3.3333266 n2e5_w5_r2_Rg8_z0.001.out.snap0171.dat.gz 3.52 6.5 0.54
0172 10110.2436671 3.3585502 n2e5_w5_r2_Rg8_z0.001.out.snap0172.dat.gz 3.49 6.5 0.54
